accident_severity,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_home_area_type,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_(district),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
3,1,9,0,5,9,2,0,0,0,0,1,1,6,1,85,11,1242,1,4,1,1,2,561285,99015,47,2,1,2,551,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,5,0,18,0,0,1,0,0,0,1,1,6,1,59,9,1598,1,8,1,1,2,312490,300490,63,2,1,7,753,6,0,6,60,0,4,6,0,0,0,1,2,2,7,0,2,1,1,1,1,59,9,3,0,0,0,0,0,5,1,5
3,3,19,0,3,0,0,0,0,0,0,2,1,2,1,49,8,1998,2,14,1,2,3,508852,160201,45,3,2,6,510,3,3,3,70,0,4,6,0,0,0,1,1,1,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,2,9,0,4,0,8,0,0,0,0,2,1,6,1,50,8,1968,2,6,1,3,3,547510,167970,1,3,3,5,19,4,258,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,3,2,1,16,4,3,0,0,2,0,0,9,1,1
3,1,9,0,4,0,1,0,0,0,0,1,1,6,1,38,7,1364,2,6,1,2,3,411470,286930,20,3,2,7,300,4,4128,3,30,1,4,6,0,0,0,1,1,1,0,0,1,2,1,1,1,33,6,3,0,0,0,0,0,9,1,5
2,2,90,0,18,0,0,0,0,0,0,1,1,6,3,38,7,1598,1,8,1,2,2,409524,295505,20,2,2,2,300,6,0,6,40,0,4,6,0,0,0,4,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,5,0,0,0,4,0,0,1,1,6,1,79,11,2496,1,10,1,1,2,422342,433468,13,2,1,2,204,6,0,6,30,0,4,6,0,0,0,4,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
2,2,1,0,18,0,0,0,4,0,0,1,1,6,1,72,10,1598,1,8,1,1,2,408553,93508,55,2,1,1,640,6,0,6,30,0,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,72,10,2,0,0,0,0,0,1,1,6
3,1,9,0,18,0,8,0,0,0,0,1,1,6,1,81,11,1589,1,16,1,1,2,484999,150354,44,2,1,2,499,3,325,6,40,3,2,6,0,0,0,1,1,1,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,18,0,0,5,0,2,0,1,1,6,1,19,4,1587,1,13,1,1,1,359720,310540,22,1,1,6,284,3,5,3,70,0,4,6,0,0,0,1,1,1,0,0,2,1,1,1,1,19,4,3,0,0,0,0,0,9,1,4
3,1,9,0,18,0,0,0,0,0,0,1,1,6,2,27,6,1248,2,11,1,1,2,435450,333830,30,2,1,5,323,6,0,6,30,0,4,6,0,0,0,1,1,1,0,0,1,2,1,1,2,27,6,3,0,0,0,0,0,9,1,5
3,2,9,0,18,0,0,0,0,0,0,1,1,6,2,28,6,1124,1,13,1,1,2,525678,152572,45,2,1,6,513,1,25,3,30,0,4,6,0,0,0,1,2,2,0,0,2,1,1,1,2,28,6,3,0,0,0,0,0,9,1,5
3,1,8,0,18,0,0,0,0,0,0,1,1,1,1,50,8,2499,2,6,1,1,1,529540,182510,1,1,1,4,2,5,0,6,30,0,4,6,0,0,5,1,2,2,0,0,1,1,1,3,1,27,6,3,4,4,0,0,2,0,1,4
3,1,9,0,17,0,0,0,0,0,0,3,1,6,1,38,7,1598,1,8,1,1,2,424612,573616,10,2,1,4,148,4,1321,6,40,0,4,6,0,0,0,1,1,1,0,0,2,1,1,1,1,38,7,3,0,0,0,0,0,9,1,3
3,3,8,0,3,0,1,0,0,0,0,3,1,1,1,30,6,1910,2,8,1,2,3,485678,238839,43,3,2,3,479,6,9097,3,30,6,2,6,8206,0,0,4,1,1,0,0,1,1,2,1,1,30,6,3,0,0,0,0,0,8,1,4
3,1,9,0,18,0,0,0,0,0,0,1,1,2,2,42,7,1461,2,3,1,1,3,444732,523150,17,3,1,6,245,3,19,3,70,0,4,6,0,0,0,1,1,1,0,0,2,1,1,1,2,42,7,3,0,0,0,0,0,9,1,5
